This is the raw data file for the forecasting simulation 

Columns are as follows:
Date--S&PHigh--S&PLo--NYSEA/D--NASDAQA/D--NYSENewH/L--NASDAQNewH/L--NYSEV--NYSEA/DV--NASDAQV--NASDAQA/DV--3MoTBill-30YrTBo--Gold--S&PClose

811002	120.16	117.07	425	400	0.5	3.5	54540	5460	28810	2112.38	14.21	14.04	435.0	119.36
811009	123.28	120.63	261	268.667	4	4.83333	50060	2386.25	27400	1121.75	13.53	14.59	453.5	121.45
811016	120.46	118.38	219	171	2.83333	5.83333	37800	1445	24770	1078	13.61	13.99	443.7	119.19
811023	119.92	117.78	161.667	141.667	2.33333	5.66667	41990	1408.75	27270	710.625	14.58	13.91	432.5	118.60
811030	122.53	118.43	403.667	293.333	6.5	8.33333	59570	6056.13	27160	1637.25	13.35	14.17	427.0	121.89
811106	124.03	121.85	204.333	179.333	4	8.33333	43460	1873.75	32590	1080.5	12.70	14.27	428.2	122.87
811113	123.61	121.06	207.333	180.333	6	9.83333	45550	1142.5	32460	1065.25	11.13	13.39	412.5	121.67
811120	122.59	120.13	349.333	269	5.5	8.66667	52010	4321.25	33470	1809.13	10.69	12.78	401.5	121.71
811127	125.71	123.63	323	201.333	6.83333	11.6667	32770	2882.5	19160	909.125	10.56	12.41	409.5	125.09
811204	127.32	125.12	341.667	250.667	4.16667	9.5	55040	4485	33000	1650.63	10.40	12.32	426.0	126.26
811211	126.26	124.32	188.667	165.333	3.66667	7	45850	1678.75	35120	1272	10.40	12.41	409.7	124.93
811218	124.87	122.56	319	247.333	4.83333	6.83333	50940	4052.5	34250	1528.38	11.10	12.81	415.7	124.00
811224	123.06	121.57	265.667	189.667	1.83333	5.16667	23940	1406.25	20870	812	11.04	12.78	398.9	122.54
811231	123.42	121.57	314	288.667	3.16667	7.33333	40780	2870	40110	1816.88	11.69	13.12	401.0	122.55
820108	120.59	118.55	304	243.333	1	5	42050	2968.75	28510	1309.13	11.66	13.26	400.2	119.55
820115	117.14	115.10	296	233	1.83333	2.83333	43310	3365	25510	1412.13	12.12	13.65	379.2	116.33
820122	116.53	114.58	198.333	168.667	1.16667	4	44370	1686.25	33710	910.125	12.51	13.89	377.2	115.38
820129	121.38	118.64	381	299.667	4.83333	6.5	73400	6082.5	30340	1727.13	13.36	13.81	387.0	120.40
820205	118.25	115.74	346.667	241	3.83333	6.33333	53350	4745	26560	1315.38	13.85	13.57	384.2	117.25
820212	115.39	113.70	234.333	157.333	1	2.83333	37070	1813.75	23520	891.5	14.10	13.83	377.5	114.38
820219	114.58	112.33	191.333	139.667	2.33333	2.16667	51340	2207.5	31040	934.875	14.74	14.05	369.2	113.22
820226	114.01	112.04	212.667	126	3.5	3	43840	2007.5	22030	617.5	12.43	13.58	362.6	113.11
820305	110.90	108.31	189.667	76	4.5	2.33333	67440	2941.25	30050	395.875	12.45	13.13	342.4	109.34
820312	109.72	104.46	142.333	87.3333	1.5	0.833333	49600	1286.25	27010	344.375	12.06	12.89	323.2	108.61
820319	111.59	109.64	282.667	252.333	1.83333	3.83333	46250	3002.5	29740	1619	12.91	12.97	315.7	110.61
820326	113.43	111.26	165.667	140	2.83333	2.66667	42400	916.25	21190	640.375	12.55	12.99	322.2	111.94
820402	115.79	113.65	347.333	255.667	8.83333	1.66667	59800	5005	28820	1507	13.40	12.91	327.7	115.12
820408	116.94	114.94	295	234.667	5.83333	18.6667	60190	4548.75	27710	1373.88	12.89	13.17	351.5	116.22
820416	117.70	115.68	318	214.667	9.16667	20.8333	55890	4065	28800	1456.88	12.85	13.10	362.7	116.81
820423	118.64	117.19	347.333	261.333	15.1667	26.8333	71840	6256.25	35530	1764	12.50	12.79	352.2	118.64
820430	116.78	116.07	243	185	3.83333	14.1667	48200	3062.5	28790	1467.63	12.47	12.69	361.2	116.44
820507	119.89	118.71	317	242.667	13.8333	22.5	67130	5016.25	32900	1661.88	12.68	12.73	334.7	119.44
820514	118.40	118.01	224.333	170.333	4.16667	14.3333	49900	2750	31890	1141.88	12.25	12.71	333.2	118.01
820521	115.13	114.60	239.333	127	1.66667	5.5	45260	3051.25	27770	750.375	12.19	12.58	338.5	114.89
820528	112.80	111.66	229.667	160.333	1.5	6	43900	1360	22350	694.875	11.48	12.66	325.2	111.88
820604	111.85	110.02	115.667	69.3333	0.5	4.5	44110	921.25	26930	335.5	11.52	12.72	318.7	110.09
820611	111.48	109.65	413.667	292	3.16667	4.16667	68610	7121.25	26140	1616.63	12.07	13.08	325.2	111.24
